DATA=Galaxy 8_sm_f
GALAXY_SEED=-963891950
+SYS_2109072221|SEED=112408876:NAME=Elysis-Prime
+OBJ_1741376604|P=SYS_2109072221:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=30:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=373589833:SEED_D=112408876:NAME=Bay of Bengal
+OBJ_1801648250|P=SYS_2109072221:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=232903747:SEED_D=-1924596768:NAME=Jormungand
+OBJ_643000543|P=SYS_2109072221:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=147:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1711213823:SEED_D=1196181058:NAME=v23
+OBJ_1938323708|P=SYS_2109072221:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=80:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1817305763:SEED_D=-1179368515:NAME=Star Maven
+OBJ_1809107477|P=SYS_2109072221:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=39:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-855939986:SEED_D=-435974115:NAME=Indefatigable
+OBJ_1285951840|P=SYS_2109072221:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=44:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1337063526:SEED_D=1626731203:NAME=Black Arches
+OBJ_1733210850|P=SYS_2109072221:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=38:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=2099989281:SEED_D=589128885:NAME=Gaskell
+OBJ_543719660|P=SYS_2109072221:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=29:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1858644942:SEED_D=1045221374:NAME=Bright's Peak
+SYS_508412151|SEED=112849938:NAME=New Constantinople
+OBJ_1662639026|P=SYS_508412151:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=145:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=864086386:SEED_D=112849938:NAME=Treacle Mine Road
