DATA=Galaxy 7_sm
GALAXY_SEED=-1517601357
+SYS_1656454309|SEED=102397173:NAME=Nova
+OBJ_2069264945|P=SYS_1656454309:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1786130343:SEED_D=102397173:NAME=Ansa Muffler
+OBJ_730647068|P=SYS_1656454309:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=72:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1374857214:SEED_D=1399284076:NAME=Never Respectable
+OBJ_622894210|P=SYS_1656454309:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=30:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=402525424:SEED_D=1092916470:NAME=Deathwing
+OBJ_1740937602|P=SYS_1656454309:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1197283625:SEED_D=2131721830:NAME=A'ventom
+OBJ_509348554|P=SYS_1656454309:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=0:DMIN=0.254902:DMAX=0.627451:SEED_C=-1269288187:SEED_D=403916430:NAME=Preponderance
+OBJ_447600552|P=SYS_1656454309:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=3:DMIN=0.254902:DMAX=0.627451:SEED_C=-242253941:SEED_D=-1773506903:NAME=Perilous
+OBJ_1627951316|P=SYS_1656454309:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=1:DMIN=0.254902:DMAX=0.627451:SEED_C=-846118857:SEED_D=540516225:NAME=Clapsadle
+OBJ_1798806957|P=SYS_1656454309:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=2:DMIN=0.254902:DMAX=0.627451:SEED_C=-669900330:SEED_D=-1980552890:NAME=Williams
+SYS_736551867|SEED=102794207:NAME=Wishram
+OBJ_511807042|P=SYS_736551867:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=59:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1485224560:SEED_D=102794207:NAME=Dasaratha
