DATA=Galaxy14_sm_f
GALAXY_SEED=1637541619
VISITED_STAR_SYSTEMS=1,5
+SYS_139926243|SEED=1068043665:NAME=Mouse:ID=7
+OBJ_233326486|P=SYS_139926243:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=157:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=477099788:SEED_D=1068043665:NAME=Cutpurse
+OBJ_1516163878|P=SYS_139926243:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=36:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1549096935:SEED_D=673483631:NAME=Clouded Yellow
+OBJ_1188033816|P=SYS_139926243:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1300248031:SEED_D=594955292:NAME=Short-Deck
+OBJ_104106027|P=SYS_139926243:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=21:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-383065147:SEED_D=380110128:NAME=Gondar
+OBJ_862393085|P=SYS_139926243:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=1:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1666141238:SEED_D=949984584:NAME=Phaethontis
+OBJ_166666394|P=SYS_139926243:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=1:DMIN=0.254902:DMAX=0.5882353:SEED_C=-867937959:SEED_D=1603387905:NAME=Hampton
+OBJ_936542664|P=SYS_139926243:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.5882353:SEED_C=232933076:SEED_D=-1674119164
+OBJ_798372587|P=SYS_139926243:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1123406164:SEED_D=-845302715
+SYS_1372007919|SEED=1068362828:NAME=Lycus:ID=2
+OBJ_1063540285|P=SYS_1372007919:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=35:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=334227027:SEED_D=1068362828:NAME=Mango
+OBJ_1636634444|P=SYS_1372007919:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=52:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=2048860933:SEED_D=1652726397:NAME=Quinn
+OBJ_312494942|P=SYS_1372007919:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1957405642:SEED_D=727375132:NAME=Haleblazer
+OBJ_231811333|P=SYS_1372007919:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=28:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=329302613:SEED_D=757860444:NAME=Isabella
+OBJ_1043799787|P=SYS_1372007919:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=21:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=2067109562:SEED_D=1429821092:NAME=Hawkmoon
+OBJ_1110754249|P=SYS_1372007919:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=53:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=521827349:SEED_D=355882665:NAME=Zu
+SYS_721371190|SEED=1068738465:NAME=Brahma:ID=3
+OBJ_748947742|P=SYS_721371190:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=172:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=779092036:SEED_D=1068738465:NAME=Totara
+OBJ_1353003048|P=SYS_721371190:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=38:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-2082393441:SEED_D=-146172762:NAME=Spiceminer
+OBJ_343932068|P=SYS_721371190:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=28:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=506460869:SEED_D=-1954260276:NAME=Shiva
+OBJ_696115194|P=SYS_721371190:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1418677329:SEED_D=-1158214949:NAME=Lemuria
