DATA=Galaxy 9_sm
GALAXY_SEED=1554258497
+SYS_607448688|SEED=984272576:NAME=Shinamota
+OBJ_539397229|P=SYS_607448688:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=47:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1902971205:SEED_D=984272576:NAME=Hunne
+OBJ_797360842|P=SYS_607448688:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=120:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=377375304:SEED_D=2017734806:NAME=Calamity Jane
+OBJ_835043709|P=SYS_607448688:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=92:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-2124077592:SEED_D=-787629149:NAME=Hazy Blue Horizon
+OBJ_219194937|P=SYS_607448688:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=96:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=995754965:SEED_D=-1413458200:NAME=Heart and Dart
+OBJ_1268727773|P=SYS_607448688:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=22:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=908153291:SEED_D=-1861062902:NAME=Asimov
+OBJ_1018315113|P=SYS_607448688:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=40:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1946717861:SEED_D=-1844588821:NAME=Horoeka
+OBJ_509327965|P=SYS_607448688:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=148:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=812030294:SEED_D=-1776686228:NAME=Circus Act
+OBJ_1902759796|P=SYS_607448688:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=174:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=261758090:SEED_D=1569841171:NAME=Theia
+SYS_196336756|SEED=984727378:NAME=Alnebaran
+OBJ_1336525880|P=SYS_196336756:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-362274799:SEED_D=984727378:NAME=Raggle
+OBJ_422743803|P=SYS_196336756:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=52:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-689991637:SEED_D=1804400996:NAME=Roper
+OBJ_1921061730|P=SYS_196336756:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=49:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1006873682:SEED_D=-696562886:NAME=Constant Drift
