DATA=Galaxy 7_sm_f
GALAXY_SEED=-412739482
+SYS_541089284|SEED=1047137514:NAME=Haplid
+OBJ_598595231|P=SYS_541089284:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=75:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=324003093:SEED_D=1047137514:NAME=Kaikeyi
+OBJ_1492420092|P=SYS_541089284:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=61:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1255594637:SEED_D=1671275279:NAME=Queen Bee
+OBJ_1797094336|P=SYS_541089284:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=39:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1003078604:SEED_D=1142033837:NAME=Komadores
+OBJ_1114048573|P=SYS_541089284:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=23:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-721944513:SEED_D=-722023836:NAME=Raggle:AI=2
+OBJ_1156979941|P=SYS_541089284:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=11:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-205390385:SEED_D=1111843396:NAME=Prometheus
+OBJ_1684385452|P=SYS_541089284:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=20:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1033866289:SEED_D=-1453404455:NAME=Minute Ridge
+OBJ_77228085|P=SYS_541089284:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=40:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-335177539:SEED_D=1994841305:NAME=Winter Park
+OBJ_780958025|P=SYS_541089284:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=4:DMIN=0.254902:DMAX=0.627451:SEED_C=-1726178838:SEED_D=-1307547780:NAME=Diacria
+SYS_1950661071|SEED=1047622141:NAME=Elon
+OBJ_540690124|P=SYS_1950661071:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=123:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=236941748:SEED_D=1047622141:NAME=Gigas Ferro
+OBJ_392700811|P=SYS_1950661071:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=152:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=2120594474:SEED_D=-1411076542:NAME=Undying
+OBJ_918119339|P=SYS_1950661071:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=4:DMIN=0.254902:DMAX=0.627451:SEED_C=-256985426:SEED_D=20010921:NAME=Timbuktu
+OBJ_1770763850|P=SYS_1950661071:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=1:DMIN=0.254902:DMAX=0.627451:SEED_C=-1391284540:SEED_D=-496225600:NAME=New Cross
