DATA=Galaxy 7_sm_f
GALAXY_SEED=764553766
VISITED_STAR_SYSTEMS=1
+SYS_1863754422|SEED=105637364:NAME=Dring:ID=2
+OBJ_15177673|P=SYS_1863754422:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-542728455:SEED_D=105637364:NAME=Swallowtail
+OBJ_470315707|P=SYS_1863754422:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=15:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-2108341739:SEED_D=986197307:NAME=Four Gables
+OBJ_1082746700|P=SYS_1863754422:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=50:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=419535617:SEED_D=421563112:NAME=Skiple
+OBJ_122786863|P=SYS_1863754422:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=21:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1957673320:SEED_D=1116167522:NAME=Potter Marsh
+OBJ_516717644|P=SYS_1863754422:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=2:DMIN=0.254902:DMAX=0.627451:SEED_C=-742968764:SEED_D=-1618886334:NAME=Vinogradsky
+OBJ_1222020237|P=SYS_1863754422:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=0:DMIN=0.254902:DMAX=0.627451:SEED_C=-842945136:SEED_D=-28359559:NAME=Perrin's Future
+OBJ_484624324|P=SYS_1863754422:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=4:DMIN=0.254902:DMAX=0.627451:SEED_C=1582984677:SEED_D=957239948:NAME=Dandaka
+OBJ_1443822573|P=SYS_1863754422:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=2:DMIN=0.254902:DMAX=0.627451:SEED_C=896422395:SEED_D=671385825:NAME=Qualls
+SYS_2062635143|SEED=106067523:NAME=Corrent:SG=True:SG_CHILD=True:SG_OTHER=GX_1936977359:GXE_P=GXE_1117536885
+OBJ_2089258875|P=SYS_2062635143:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=37:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-747081616:SEED_D=106067523:NAME=Li
+OBJ_1312370631|P=SYS_2062635143:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=29:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=617369310:SEED_D=-385332595:NAME=Dawn Diver
+OBJ_1453306534|P=SYS_2062635143:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=26:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-44245618:SEED_D=-2144577161:NAME=Jedlik
