DATA=Galaxy 10_sm_f
GALAXY_SEED=814321259
+SYS_739973509|SEED=85849510:NAME=Merlin
+OBJ_1134762543|P=SYS_739973509:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=39:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.282353:DMAX=0.5921569:SEED_C=1162389747:SEED_D=85849510:NAME=Chronus
+OBJ_1958156322|P=SYS_739973509:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=34:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.282353:DMAX=0.5921569:SEED_C=1473925154:SEED_D=-599004217:NAME=Mere Coincidence
+OBJ_1124737300|P=SYS_739973509:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=1:DMIN=0.282353:DMAX=0.5921569:SEED_C=-699439230:SEED_D=-2079278050:NAME=Sunrise
+OBJ_1872267276|P=SYS_739973509:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=1:DMIN=0.282353:DMAX=0.5921569:SEED_C=1837267458:SEED_D=1744116622:NAME=Dokuchaev
+OBJ_151448686|P=SYS_739973509:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=3:DMIN=0.282353:DMAX=0.5921569:SEED_C=-1493057463:SEED_D=-187397148:NAME=Battersea
+OBJ_1191013288|P=SYS_739973509:DTYPE=4:DEFNAME=Trading Post:DMIN=0.282353:DMAX=0.5921569:SEED_C=-1784155487:SEED_D=395965149
+SYS_573027479|SEED=86168770:NAME=Pyria
+OBJ_461513058|P=SYS_573027479:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=39:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.3647059:DMAX=0.682353:SEED_C=-37304001:SEED_D=86168770:NAME=Hessian
+OBJ_114065378|P=SYS_573027479:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=0:DMIN=0.3647059:DMAX=0.682353:SEED_C=1313427063:SEED_D=-2083180169:NAME=Sha Tin
+OBJ_922188323|P=SYS_573027479:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=1:DMIN=0.3647059:DMAX=0.682353:SEED_C=1294434430:SEED_D=-1307339662:NAME=Wyatt
+OBJ_552961594|P=SYS_573027479:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=4:DMIN=0.3647059:DMAX=0.682353:SEED_C=-1370893086:SEED_D=1825399067:NAME=Lone Pine
+OBJ_1310470678|P=SYS_573027479:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=2:DMIN=0.3647059:DMAX=0.682353:SEED_C=-1466956389:SEED_D=-1047223948:NAME=Dayman
+OBJ_965746475|P=SYS_573027479:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=2:DMIN=0.3647059:DMAX=0.682353:SEED_C=1194412445:SEED_D=1971786680:NAME=Goldman
+OBJ_413183710|P=SYS_573027479:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=2:DMIN=0.3647059:DMAX=0.682353:SEED_C=1952334488:SEED_D=-291685026:NAME=Evanger
+OBJ_1223612446|P=SYS_573027479:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=3:DMIN=0.3647059:DMAX=0.682353:SEED_C=749977934:SEED_D=-266394606:NAME=Gol
+SYS_1208759891|SEED=86619063:NAME=Rikasa
+OBJ_1740649072|P=SYS_1208759891:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=27:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.4941176:DMAX=0.8196079:SEED_C=1915699466:SEED_D=86619063:NAME=Serendipitous
+OBJ_211151623|P=SYS_1208759891:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=40:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.4941176:DMAX=0.8196079:SEED_C=505763418:SEED_D=349083091:NAME=Atmo
+OBJ_1156700696|P=SYS_1208759891:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=4:DMIN=0.4941176:DMAX=0.8196079:SEED_C=-1330098173:SEED_D=1765421466:NAME=Plymouth
+OBJ_219154774|P=SYS_1208759891:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=0:DMIN=0.4941176:DMAX=0.8196079:SEED_C=-850853990:SEED_D=977789593:NAME=Hadley
+OBJ_420975024|P=SYS_1208759891:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=0:DMIN=0.4941176:DMAX=0.8196079:SEED_C=111115853:SEED_D=380928938:NAME=Barr
