DATA=Galaxy 10_sm
GALAXY_SEED=1971053830
+SYS_1347233957|SEED=81836911:NAME=Heela
+OBJ_1626531004|P=SYS_1347233957:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=165:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.3215686:DMAX=0.6352941:SEED_C=184010154:SEED_D=81836911:NAME=Baba Yaga
+OBJ_1172656956|P=SYS_1347233957:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=13:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.3215686:DMAX=0.6352941:SEED_C=1331370248:SEED_D=1494191579:NAME=Richard Bottoms
+OBJ_2006815480|P=SYS_1347233957:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=24:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.3215686:DMAX=0.6352941:SEED_C=-663055951:SEED_D=1326198097:NAME=Oasis
+OBJ_918598658|P=SYS_1347233957:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=98:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.3215686:DMAX=0.6352941:SEED_C=379594223:SEED_D=-1996893851:NAME=Swift-Killer
+OBJ_687864996|P=SYS_1347233957:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=45:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.3215686:DMAX=0.6352941:SEED_C=1022590279:SEED_D=601241973:NAME=Square Paper
+OBJ_567014015|P=SYS_1347233957:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=16:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.3215686:DMAX=0.6352941:SEED_C=-1323454294:SEED_D=2099916572:NAME=Cumbrae
+OBJ_1491917115|P=SYS_1347233957:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=2:DMIN=0.3215686:DMAX=0.6352941:SEED_C=-851257801:SEED_D=1131292024:NAME=Fontana
+OBJ_170275454|P=SYS_1347233957:DTYPE=4:DEFNAME=Trading Post:DMIN=0.3215686:DMAX=0.6352941:SEED_C=-2015298309:SEED_D=-382603341
+SYS_1065911755|SEED=82339100:NAME=Tort
+OBJ_522827081|P=SYS_1065911755:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=37:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.2:DMAX=0.5254902:SEED_C=329465051:SEED_D=82339100:NAME=Taurus
+OBJ_1217412910|P=SYS_1065911755:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=1:DMIN=0.2:DMAX=0.5254902:SEED_C=2135759246:SEED_D=1620037331:NAME=Wolof
