DATA=Galaxy 10_sm_f
GALAXY_SEED=1883075385
+SYS_994250127|SEED=1022585855:NAME=La Trompa
+OBJ_1453074287|P=SYS_994250127:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=45:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.1960784:DMAX=0.5254902:SEED_C=268921013:SEED_D=1022585855:NAME=Jersey Tiger
+OBJ_657803945|P=SYS_994250127:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=4:DMIN=0.1960784:DMAX=0.5254902:SEED_C=784994022:SEED_D=865872029:NAME=Torbay
+OBJ_1175977450|P=SYS_994250127:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=0:DMIN=0.1960784:DMAX=0.5254902:SEED_C=-304339665:SEED_D=-1188931326:NAME=Machakos
+OBJ_1822922712|P=SYS_994250127:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=2:DMIN=0.1960784:DMAX=0.5254902:SEED_C=348063954:SEED_D=1170964316:NAME=Duck's Strike
+OBJ_551050161|P=SYS_994250127:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=4:DMIN=0.1960784:DMAX=0.5254902:SEED_C=-1253138875:SEED_D=-35299999:NAME=Muskell
+OBJ_468545926|P=SYS_994250127:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=2:DMIN=0.1960784:DMAX=0.5254902:SEED_C=564438950:SEED_D=1078294883:NAME=Aubrey
+OBJ_443660129|P=SYS_994250127:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=1:DMIN=0.1960784:DMAX=0.5254902:SEED_C=401769347:SEED_D=-334201835:NAME=Fleeguard
+OBJ_699213512|P=SYS_994250127:DTYPE=4:DEFNAME=Trading Post:DMIN=0.1960784:DMAX=0.5254902:SEED_C=-1670157475:SEED_D=-1497967885
+SYS_794519181|SEED=1023031855:NAME=Sharee
+OBJ_1969505057|P=SYS_794519181:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=22:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.3019608:DMAX=0.6117647:SEED_C=1171990524:SEED_D=1023031855:NAME=Faro-Bank
+OBJ_568178193|P=SYS_794519181:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=53:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.3019608:DMAX=0.6117647:SEED_C=1023651038:SEED_D=-791003816:NAME=Athena
+OBJ_593201316|P=SYS_794519181:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.3019608:DMAX=0.6117647:SEED_C=-95798706:SEED_D=-1987867430:NAME=Castle
+OBJ_1300212184|P=SYS_794519181:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=25:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.3019608:DMAX=0.6117647:SEED_C=-640438317:SEED_D=-1212617157:NAME=Adonis Blue
+OBJ_1884302165|P=SYS_794519181:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=35:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.3019608:DMAX=0.6117647:SEED_C=1356704943:SEED_D=-1821439763:NAME=Tennant
+OBJ_2147434880|P=SYS_794519181:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=0:DMIN=0.3019608:DMAX=0.6117647:SEED_C=-1093156502:SEED_D=1455528559:NAME=Yei
+OBJ_876400481|P=SYS_794519181:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=4:DMIN=0.3019608:DMAX=0.6117647:SEED_C=1774587694:SEED_D=930335652:NAME=Dodoma
+OBJ_451386847|P=SYS_794519181:DTYPE=4:DEFNAME=Trading Post:DMIN=0.3019608:DMAX=0.6117647:SEED_C=-861189359:SEED_D=616584576
+SYS_1577972877|SEED=1023440174:NAME=Roffid
+OBJ_1526060735|P=SYS_1577972877:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=1:DMIN=0.4117647:DMAX=0.7333333:SEED_C=382783351:SEED_D=1023440174:NAME=Houser
