DATA=Galaxy 11_sm_f
GALAXY_SEED=-2095879532
+SYS_1738486264|SEED=960282088:NAME=Trireme
+OBJ_321778403|P=SYS_1738486264:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=34:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.6117647:DMAX=0.9294118:SEED_C=688144879:SEED_D=960282088:NAME=Kali
+OBJ_661101064|P=SYS_1738486264:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=108:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6117647:DMAX=0.9294118:SEED_C=-2069999210:SEED_D=1749489914:NAME=Flint
+OBJ_737308028|P=SYS_1738486264:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=45:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.6117647:DMAX=0.9294118:SEED_C=-2007470522:SEED_D=-169205187:NAME=Achillies
+OBJ_1034025195|P=SYS_1738486264:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=2:DMIN=0.6117647:DMAX=0.9294118:SEED_C=1291389086:SEED_D=-1642327969:NAME=Margaritifer
+OBJ_1412446846|P=SYS_1738486264:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=0:DMIN=0.6117647:DMAX=0.9294118:SEED_C=-676852889:SEED_D=-1013621902:NAME=Undercliff
+OBJ_1474600614|P=SYS_1738486264:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=2:DMIN=0.6117647:DMAX=0.9294118:SEED_C=1432910925:SEED_D=-535276084:NAME=Sprig
+SYS_652908533|SEED=960625440:NAME=Vell Fidel
+OBJ_602250904|P=SYS_652908533:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=144:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2784314:DMAX=0.5764706:SEED_C=145504236:SEED_D=960625440:NAME=The Nuclear Fridge
+OBJ_112894077|P=SYS_652908533:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=31:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.2784314:DMAX=0.5764706:SEED_C=-108559462:SEED_D=1333995115:NAME=Tiller
+OBJ_544702280|P=SYS_652908533:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=31:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2784314:DMAX=0.5764706:SEED_C=-80028332:SEED_D=538763974:NAME=Falling Apart
+OBJ_1973897030|P=SYS_652908533:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=16:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.2784314:DMAX=0.5764706:SEED_C=-334880951:SEED_D=1678251505:NAME=Pale Tussock
+OBJ_526161047|P=SYS_652908533:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=145:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2784314:DMAX=0.5764706:SEED_C=-1769733532:SEED_D=-900633575:NAME=All Gone Now
+OBJ_1761768015|P=SYS_652908533:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=31:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.2784314:DMAX=0.5764706:SEED_C=1613624079:SEED_D=1013910692:NAME=Beyond Thought
+OBJ_1820978758|P=SYS_652908533:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=69:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.2784314:DMAX=0.5764706:SEED_C=434561337:SEED_D=875614736:NAME=Spiceminer
+OBJ_655946310|P=SYS_652908533:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=130:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2784314:DMAX=0.5764706:SEED_C=1008130181:SEED_D=-234141333:NAME=Nemrase
+SYS_1823261535|SEED=961068348:NAME=Aviso
+OBJ_603364710|P=SYS_1823261535:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2078431:DMAX=0.5568628:SEED_C=-1584106365:SEED_D=961068348:NAME=Soorpanaka
