DATA=Galaxy 7_sm_f
GALAXY_SEED=1775477566
+SYS_249290600|SEED=973312528:NAME=Skythorpe
+OBJ_86729534|P=SYS_249290600:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=33:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=725156082:SEED_D=973312528:NAME=Oasis
+OBJ_483018022|P=SYS_249290600:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=44:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1383685365:SEED_D=-200601564:NAME=Schroeter
+OBJ_1125340036|P=SYS_249290600:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=30:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-955292170:SEED_D=72871078:NAME=Gao
+OBJ_1657116839|P=SYS_249290600:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=39:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1509159126:SEED_D=-1179924680:NAME=Mirandela
+OBJ_940411015|P=SYS_249290600:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=37:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1549642006:SEED_D=1086485021:NAME=Haugastl
+OBJ_1410341389|P=SYS_249290600:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=155629245:SEED_D=-1793016140
+SYS_1639721367|SEED=973624272:NAME=Yalter
+OBJ_1405692629|P=SYS_1639721367:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=39:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1341412466:SEED_D=973624272:NAME=Europa
+OBJ_163209759|P=SYS_1639721367:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=179:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1485375522:SEED_D=317818121:NAME=Lycorhinus
+OBJ_54755365|P=SYS_1639721367:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=42:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1548492896:SEED_D=-1417817816:NAME=Brisk Shift
+OBJ_1171028936|P=SYS_1639721367:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=49:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-762603866:SEED_D=-1066120512:NAME=Misfit
+OBJ_1250272941|P=SYS_1639721367:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1520247607:SEED_D=630914585:NAME=Pompey Star
+OBJ_1680388646|P=SYS_1639721367:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=2:DMIN=0.254902:DMAX=0.627451:SEED_C=1800810550:SEED_D=1826938267:NAME=Vector Two
+SYS_416385057|SEED=973996032:NAME=Persepia
+OBJ_1828455699|P=SYS_416385057:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=38:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=81857028:SEED_D=973996032:NAME=Crimson Starset
+OBJ_94094058|P=SYS_416385057:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=40:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1886879836:SEED_D=453189502:NAME=Madame de Pompadour
+OBJ_221065956|P=SYS_416385057:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-483731762:SEED_D=2054506743:NAME=Dasaratha:AI=3
+OBJ_544982474|P=SYS_416385057:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=30:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-148909895:SEED_D=-700138246:NAME=False Ringlet
+OBJ_596836951|P=SYS_416385057:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=26:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1233103397:SEED_D=74623343:NAME=Phedra
+OBJ_163257168|P=SYS_416385057:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=1654568276:SEED_D=-853999323
+SYS_1381273477|SEED=974325000:NAME=Tha:SG=True:SG_CHILD=True:SG_OTHER=GX_322302046:GXE_P=GXE_887978250
