DATA=Galaxy 11_sm
GALAXY_SEED=1560252688
VISITED_STAR_SYSTEMS=16
+SYS_1286310718|SEED=1026195651:NAME=Penteconter
+OBJ_2029573986|P=SYS_1286310718:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=53:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6588235:DMAX=0.9686275:SEED_C=-961887687:SEED_D=1026195651:NAME=Jambavan
+OBJ_654502149|P=SYS_1286310718:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=16:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6588235:DMAX=0.9686275:SEED_C=1400947070:SEED_D=575396489:NAME=Momentary Sun
+OBJ_37780199|P=SYS_1286310718:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=110:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6588235:DMAX=0.9686275:SEED_C=1758686539:SEED_D=1616525415:NAME=Amari
+OBJ_2020302740|P=SYS_1286310718:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.6588235:DMAX=0.9686275:SEED_C=1773932663:SEED_D=423287468:NAME=Eos:AI=2
+OBJ_59459643|P=SYS_1286310718:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=86:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6588235:DMAX=0.9686275:SEED_C=2040897328:SEED_D=575395319:NAME=Aether
+OBJ_1937489446|P=SYS_1286310718:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=27:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.6588235:DMAX=0.9686275:SEED_C=-656619062:SEED_D=870366096:NAME=Jatayu
+OBJ_719718557|P=SYS_1286310718:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=35:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.6588235:DMAX=0.9686275:SEED_C=-2099974489:SEED_D=881446091:NAME=Gafute
+OBJ_150616468|P=SYS_1286310718:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=13:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.6588235:DMAX=0.9686275:SEED_C=603669117:SEED_D=-477339348:NAME=Maturin
+SYS_1377388528|SEED=1026655414:NAME=Clovis
+OBJ_1847734324|P=SYS_1377388528:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=31:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6392157:DMAX=0.9490196:SEED_C=938205356:SEED_D=1026655414:NAME=Arctic Fritallary
+OBJ_1973249729|P=SYS_1377388528:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=50:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.6392157:DMAX=0.9490196:SEED_C=-1348675296:SEED_D=-1150106983:NAME=Skipper
+OBJ_1347275729|P=SYS_1377388528:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=173:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6392157:DMAX=0.9490196:SEED_C=-1828115544:SEED_D=-86547092:NAME=Yellow Shell
+OBJ_1598370868|P=SYS_1377388528:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=3:DMIN=0.6392157:DMAX=0.9490196:SEED_C=-1728369042:SEED_D=981373034:NAME=Victoria
+OBJ_1993156653|P=SYS_1377388528:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=4:DMIN=0.6392157:DMAX=0.9490196:SEED_C=890018655:SEED_D=1796303091:NAME=Coverup
+OBJ_2127390870|P=SYS_1377388528:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=1:DMIN=0.6392157:DMAX=0.9490196:SEED_C=-231405857:SEED_D=-662228737:NAME=Porras
+OBJ_640443511|P=SYS_1377388528:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=2:DMIN=0.6392157:DMAX=0.9490196:SEED_C=467532276:SEED_D=-1833035564:NAME=Bunsen
+OBJ_203765464|P=SYS_1377388528:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=2:DMIN=0.6392157:DMAX=0.9490196:SEED_C=-1471841246:SEED_D=2126685285:NAME=Claudius
+SYS_200196610|SEED=1027114627:NAME=Wait:SG=True:SG_CHILD=True:SG_OTHER=GX_43046132:GXE_P=GXE_1928341423:ID=16:VIEWED=True:FIRST_SHIP_ID=85:SG_VISITED=True:LAST_DOCKED_ID=OBJ_507786367:LAST_SELECTED_ID=OBJ_921534988:SCNTYPE=0:VISITED=True
+OBJ_560218577|P=SYS_200196610:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=22:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.1686275:DMAX=0.5176471:SEED_C=529817872:SEED_D=1027114627:NAME=Bowsprit:ID=85
+OBJ_1652634060|P=SYS_200196610:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.1686275:DMAX=0.5176471:SEED_C=-1840205482:SEED_D=2054128690:NAME=Triumph:ID=86:ITYPE=Brute,Slime
+OBJ_1372662825|P=SYS_200196610:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=148:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.1686275:DMAX=0.5176471:SEED_C=-1059994835:SEED_D=1452569090:NAME=Atmo:ID=87:ITYPE=Brute
+OBJ_921534988|P=SYS_200196610:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.1686275:DMAX=0.5176471:SEED_C=-1963415434:SEED_D=467248224:NAME=Zo Ged Dah:ID=88:ITYPE=Swarm,PatrolBot:VISITED=True:SLOTS=3
+OBJ_16588009|P=SYS_200196610:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=12:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.1686275:DMAX=0.5176471:SEED_C=305233921:SEED_D=-171004106:NAME=Hadley:ID=89
+OBJ_184828028|P=SYS_200196610:DTYPE=4:DEFNAME=Trading Post:DMIN=0.1686275:DMAX=0.5176471:SEED_C=1436623025:SEED_D=-1715160854:ID=90:NAME=autotrade c983b
+SYS_1003011397|SEED=1027434463:NAME=Doble Parell:SG=True:SG_OTHER=GX_43046132:GXE_P=GXE_779407737
+OBJ_146874885|P=SYS_1003011397:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=125:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.427451:DMAX=0.7568628:SEED_C=1389714015:SEED_D=1027434463:NAME=Tammuz
+OBJ_164561228|P=SYS_1003011397:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=40:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.427451:DMAX=0.7568628:SEED_C=-435569495:SEED_D=-283797007:NAME=Feynman
