DATA=Galaxy 11_sm_f
GALAXY_SEED=-392986699
+SYS_956311091|SEED=1031002537:NAME=Ninlil
+OBJ_54027128|P=SYS_956311091:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=118:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7450981:SEED_C=-2003339059:SEED_D=1031002537:NAME=Discovery
+OBJ_359323245|P=SYS_956311091:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=22:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7450981:SEED_C=1510876938:SEED_D=-1286254082:NAME=Pompeii
+OBJ_366330888|P=SYS_956311091:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=35:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7450981:SEED_C=1631690927:SEED_D=1468990290:NAME=Protectorate
+OBJ_33598793|P=SYS_956311091:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=30:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7450981:SEED_C=-1162206783:SEED_D=1635785963:NAME=Crystal
+OBJ_887330403|P=SYS_956311091:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=11:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7450981:SEED_C=-1832366801:SEED_D=-59805928:NAME=Meshes
+OBJ_1189312770|P=SYS_956311091:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=20:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7450981:SEED_C=-1682400448:SEED_D=-1478615138:NAME=Dreams
+SYS_152007267|SEED=1031343655:NAME=Proxima-Inferioris
+OBJ_1973534087|P=SYS_152007267:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=176:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5686275:DMAX=0.8941177:SEED_C=1180649164:SEED_D=1031343655:NAME=Cold Comfort
+OBJ_757260010|P=SYS_152007267:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=28:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5686275:DMAX=0.8941177:SEED_C=2051188836:SEED_D=-148164277:NAME=Canton
+OBJ_536851638|P=SYS_152007267:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=33:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5686275:DMAX=0.8941177:SEED_C=-283520630:SEED_D=480098622:NAME=Hackett
+OBJ_946466095|P=SYS_152007267:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5686275:DMAX=0.8941177:SEED_C=2113885940:SEED_D=-1294551178:NAME=Aphrodite
+OBJ_1672474581|P=SYS_152007267:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=4:DMIN=0.5686275:DMAX=0.8941177:SEED_C=976348345:SEED_D=341507195:NAME=Yeysk
+OBJ_601928841|P=SYS_152007267:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=0:DMIN=0.5686275:DMAX=0.8941177:SEED_C=-1388543828:SEED_D=1555191735:NAME=Kin Zaar
+OBJ_1865252437|P=SYS_152007267:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=2:DMIN=0.5686275:DMAX=0.8941177:SEED_C=1404702997:SEED_D=-1129569466:NAME=Kowloon
+OBJ_719237851|P=SYS_152007267:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=3:DMIN=0.5686275:DMAX=0.8941177:SEED_C=843534612:SEED_D=1182491014:NAME=Jedlik
+SYS_424190707|SEED=1031782567:NAME=Meva Serp
+OBJ_305769182|P=SYS_424190707:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=84:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6117647:DMAX=0.9411765:SEED_C=-1732467212:SEED_D=1031782567:NAME=Demeter
+OBJ_938994895|P=SYS_424190707:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=40:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.6117647:DMAX=0.9411765:SEED_C=2093569001:SEED_D=1385488275:NAME=Grand Fillmore
+OBJ_2116247099|P=SYS_424190707:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=32:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.6117647:DMAX=0.9411765:SEED_C=198568244:SEED_D=1580431444:NAME=Rosy Footman
+OBJ_297515925|P=SYS_424190707:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=24:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6117647:DMAX=0.9411765:SEED_C=308861589:SEED_D=-909589528:NAME=Pushpinder Singh
