DATA=Galaxy 9_sm
GALAXY_SEED=763956709
+SYS_2094098748|SEED=1057585559:NAME=Aruru
+OBJ_269321701|P=SYS_2094098748:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=21:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=2063591353:SEED_D=1057585559:NAME=Eurasia
+OBJ_1810970810|P=SYS_2094098748:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=14:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1509449506:SEED_D=1810711593:NAME=Edgerton
+OBJ_1768246666|P=SYS_2094098748:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=10:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=2036464032:SEED_D=-630690058:NAME=Cantoura
+OBJ_1982493140|P=SYS_2094098748:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=35:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1204190415:SEED_D=840723716:NAME=Ludd
+OBJ_1883519993|P=SYS_2094098748:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=31:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1241819042:SEED_D=-1640801231:NAME=Morales
+OBJ_1996999319|P=SYS_2094098748:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-862421665:SEED_D=529245459
+SYS_153377603|SEED=1057924785:NAME=Kornarion
+OBJ_962283304|P=SYS_153377603:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=81:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-496735394:SEED_D=1057924785:NAME=Ill Prepared
+OBJ_346400190|P=SYS_153377603:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=30:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1440474928:SEED_D=-107636808:NAME=Bute
+OBJ_696918956|P=SYS_153377603:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=26:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1410170702:SEED_D=-560932690:NAME=Hoxton
+OBJ_732836320|P=SYS_153377603:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=19:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1839952951:SEED_D=1220714046:NAME=Walmsley
+OBJ_1901399140|P=SYS_153377603:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=24:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1015267421:SEED_D=353003383:NAME=Bernhardt
+OBJ_974203999|P=SYS_153377603:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=39:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-2023003246:SEED_D=-1224220999:NAME=Steel
+OBJ_818913547|P=SYS_153377603:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=11:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1185500031:SEED_D=-2126093918:NAME=Ross
+OBJ_1390387877|P=SYS_153377603:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=27:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1528824499:SEED_D=-939172692:NAME=Two Forks
+SYS_582799517|SEED=1058386190:NAME=Namdus
+OBJ_723505815|P=SYS_582799517:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=166:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1439183791:SEED_D=1058386190:NAME=Guenter Schunte
+OBJ_1352817965|P=SYS_582799517:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=57:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=2073259212:SEED_D=1253919429:NAME=Atari
+OBJ_600696533|P=SYS_582799517:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=153:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=132637557:SEED_D=-881465930:NAME=All The Wrong Places
+OBJ_886058708|P=SYS_582799517:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=42:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1832093091:SEED_D=-1943052408:NAME=Southpaw
+OBJ_16718084|P=SYS_582799517:DTYPE=1:DEFNAME=Private:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1037798346:SEED_D=300872041:NAME=Awfully Dark Out Here
