DATA=Galaxy 9_sm_f
GALAXY_SEED=1854790033
+SYS_1204030296|SEED=119800310:NAME=Xebec
+OBJ_29964456|P=SYS_1204030296:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=26:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1767657610:SEED_D=119800310:NAME=Thanos
+OBJ_596326115|P=SYS_1204030296:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=32:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1211935591:SEED_D=298533926:NAME=Leviathan
+OBJ_990076972|P=SYS_1204030296:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=11:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-319262630:SEED_D=-2001320776:NAME=Mottled Umber
+OBJ_986148094|P=SYS_1204030296:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=157:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1132207563:SEED_D=-1128264225:NAME=Vengeance
+OBJ_721628961|P=SYS_1204030296:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=33:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1926709504:SEED_D=1038875984:NAME=Opal Star
+OBJ_1494160877|P=SYS_1204030296:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=41:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1932903920:SEED_D=584087227:NAME=Kota
+OBJ_1033137628|P=SYS_1204030296:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=89:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1580681719:SEED_D=-1268135960:NAME=Kartikeya
+OBJ_4894256|P=SYS_1204030296:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=43:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1682600652:SEED_D=-2102402898:NAME=Fl
+SYS_1373049669|SEED=120243295:NAME=Fomato
+OBJ_830118008|P=SYS_1373049669:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=40:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=816535323:SEED_D=120243295:NAME=Morrigan
